"t_ms","private_mb","working_mb"
"237563","176.2","187.9"
"237773","176.2","187.9"
"237993","176.2","187.9"
"238210","176.2","187.9"
"238428","176.4","188"
"238643","176.5","188"
"238862","176.4","188"
"239073","176.4","188"
"239291","178.1","189.8"
"239514","178.1","189.8"
"239723","178.1","189.8"
"239941","178.1","189.8"
"240160","178.1","189.8"
"240379","178.1","189.8"
"240598","178.1","189.8"
"240816","178.1","189.8"
"241037","178.1","189.8"
"241243","178.4","190"
"241465","178.4","190"
"241672","178.4","190"
"241880","178.4","190"
"242095","180.1","191.6"
"242319","180.1","191.6"
"242529","180.1","191.6"
"242748","180.1","191.6"
"242957","180.1","191.7"
"243171","180.1","191.7"
"243386","180.1","191.7"
"243606","180.1","191.7"
"243823","180.3","191.8"
"244037","180.4","191.8"
"244256","180.4","191.8"
"244477","180.4","191.8"
"244690","182.2","193.6"
"244912","182.1","193.6"
"245123","182.1","193.6"
"245346","182.1","193.6"
"245564","182.1","193.6"
"245784","182.1","193.7"
"246004","182.1","193.7"
"246223","182.1","193.7"
"246444","182.1","193.7"
"246665","182.4","193.8"
"246869","182.4","193.8"
"247088","182.4","193.8"
"247297","182.4","193.8"
"247516","184.1","195.5"
"247740","184.1","195.5"
"247960","184.1","195.5"
"248180","184.1","195.5"
"248403","184.1","195.5"
"248623","184.1","195.5"
"248829","184.1","195.6"
"249047","184.1","195.6"
"249264","184.3","195.7"
"249481","184.4","195.7"
"249701","184.3","195.7"
"249920","184.3","195.7"
"250134","184.3","195.7"
"250355","186","197.4"
"250573","186","197.4"
"250791","186","197.4"
"251012","186","197.4"
"251224","186","197.4"
"251441","186","197.4"
"251660","186","197.4"
"251883","186","197.4"
"252100","186","197.4"
"252323","186.2","197.6"
"252543","186.2","197.6"
"252758","186.2","197.6"
"252964","186.2","197.6"
"253185","188.1","199.4"
"253396","188.1","199.4"
"253616","188.1","199.4"
"253827","188.1","199.4"
"254045","188.1","199.4"
"254264","188.1","199.4"
"254482","188.1","199.4"
"254701","188.1","199.4"
"254921","188.1","199.4"
"255142","188.3","199.6"
"255360","188.4","199.6"
"255580","188.3","199.6"
"255792","188.3","199.6"
"256012","190","201.3"
"256225","190","201.3"
"256432","190","201.3"
"256638","190","201.2"
"256855","190","201.3"
"257061","190","201.3"
"257266","190","201.3"
"257485","190","201.3"
"257705","190","201.3"
"257919","190.2","201.5"
"258139","190.3","201.5"
"258357","190.2","201.5"
"258578","190.2","201.5"
"258798","191.9","203.1"
"259016","191.9","203.1"
"259224","191.9","203.1"
"259433","191.9","203.1"
"259651","191.9","203.2"
"259862","191.9","203.2"
"260085","191.9","203.1"
"260304","191.9","203.1"
"260521","191.9","203.1"
"260728","192.2","203.3"
"260949","192.2","203.3"
"261160","192.2","203.3"
"261370","192.2","203.3"
"261591","194","205.1"
"261803","194","205.1"
"262013","194","205.1"
"262231","194","205.2"
"262435","194","205.2"
"262643","194","205.2"
"262859","194","205.2"
"263078","194","205.2"
"263303","194.2","205.4"
"263519","194.3","205.4"
"263737","194.3","205.4"
"263945","194.2","205.4"
"264166","196","207.1"
"264384","196","207.1"
"264592","196","207.1"
"264808","196","207"
"265015","196","207"
"265235","196","207.1"
"265443","196","207.1"
"265664","196","207.1"
"265876","196","207.1"
"266088","196.2","207.2"
"266302","196.2","207.2"
"266522","196.2","207.2"
"266732","196.2","207.2"
"266949","198","208.9"
"267168","197.9","208.9"
"267386","197.9","208.9"
"267604","197.9","208.9"
"267823","197.9","209"
"268043","197.9","209"
"268264","197.9","209"
"268473","197.9","209"
"268692","198.1","209.1"
"268912","198.2","209.1"
"269130","198.1","209.1"
"269346","198.1","209.1"
"269564","198.1","209.1"
"269783","199.8","210.8"
"270001","199.8","210.8"
"270213","199.8","210.8"
"270427","199.8","210.8"
"270645","199.8","210.8"
"270852","199.8","210.8"
"271074","199.8","210.8"
"271295","199.8","210.8"
"271512","200","211"
"271733","200.1","211"
"271948","200","211"
"272154","200","211"
"272368","201.9","212.8"
"272588","201.9","212.8"
"272806","201.9","212.8"
"273026","201.9","212.8"
"273232","201.9","212.8"
"273441","201.9","212.8"
"273661","201.9","212.8"
"273867","201.9","212.8"
"274086","201.9","212.8"
"274294","202.1","213"
"274514","202.2","213"
"274723","202.2","213"
"274943","202.1","213"
"275161","203.8","214.7"
"275381","203.8","214.7"
"275601","203.8","214.7"
"275820","203.8","214.7"
"276037","203.8","214.6"
"276252","203.8","214.7"
"276472","203.8","214.7"
"276690","203.8","214.7"
"276904","203.8","214.7"
"277122","204.1","214.9"
"277329","204.1","214.9"
"277540","204.1","214.9"
"277747","204.1","214.9"
"277965","205.8","216.5"
"278173","205.8","216.5"
"278391","205.8","216.5"
"278609","205.8","216.5"
"278815","205.8","216.6"
"279024","205.8","216.6"
"279242","205.8","216.6"
"279452","205.8","216.6"
"279669","206","216.8"
"279877","206.1","216.8"
"280090","206","216.8"
"280312","206","216.8"
"280521","206","216.8"
"280740","207.8","218.5"
"280956","207.8","218.5"
"281165","207.8","218.5"
"281386","207.8","218.5"
"281600","207.8","218.6"
"281808","207.8","218.6"
"282014","207.8","218.6"
"282222","207.8","218.6"
"282430","208.1","218.7"
"282643","208.1","218.8"
"282860","208.1","218.8"
"283068","208.1","218.8"
"283290","208.1","218.8"
"283507","209.8","220.6"
"283726","209.8","220.6"
"283932","209.8","220.6"
"284145","209.8","220.5"
"284354","209.8","220.5"
"284573","209.8","220.5"
"284793","209.8","220.5"
"285014","209.8","220.5"
"285231","210","220.7"
"285451","210","220.7"
"285673","210","220.7"
"285880","210","220.7"
"286097","211.7","222.3"
"286305","211.7","222.3"
"286525","211.7","222.3"
"286745","211.7","222.3"
"286965","211.7","222.3"
"287174","211.7","222.4"
"287392","211.7","222.4"
"287605","211.7","222.4"
"287819","211.7","222.4"
"288040","211.9","222.5"
"288261","212","222.5"
"288480","211.9","222.5"
"288696","211.9","222.5"
"288916","213.8","224.3"
"289134","213.8","224.3"
"289349","213.8","224.3"
"289569","213.8","224.3"
"289788","213.8","224.3"
"290010","213.8","224.4"
"290232","213.8","224.4"
"290440","213.8","224.4"
"290663","213.8","224.4"
"290884","213.8","224.4"
"291100","214","224.5"
"291318","214.1","224.5"
"291543","214.1","224.5"
"291755","214.1","224.5"
"291961","214.1","224.5"
"292166","215.7","226.2"
"292385","215.7","226.2"
"292593","215.7","226.2"
"292802","215.7","226.2"
"293023","215.7","226.2"
"293226","215.7","226.2"
"293437","215.7","226.2"
"293648","215.7","226.3"
"293864","215.7","226.3"
"294085","215.9","226.4"
"294304","216","226.4"
"294520","216","226.4"
"294739","216","226.4"
"294949","216","226.4"
"295163","217.6","228.1"
"295381","217.6","228.1"
"295601","217.6","228.1"
"295820","217.6","228.1"
"296039","217.6","228.1"
"296258","217.6","228.1"
"296478","217.6","228.1"
"296697","217.6","228.1"
"296916","217.9","228.3"
"297124","217.9","228.3"
"297344","217.9","228.3"
"297564","217.9","228.3"
"297784","219.7","230.1"
"298004","219.7","230.1"
"298214","219.7","230.1"
"298433","219.7","230.1"
"298647","219.7","230.1"
"298866","219.7","230.1"
"299088","219.7","230.1"
"299298","219.7","230.1"
"299519","219.7","230.1"
"299737","219.9","230.3"
"299957","220","230.3"
"300164","220","230.4"
"300381","220","230.4"
"300589","221.7","232"
"300806","221.7","232"
"301014","221.7","232"
"301231","221.7","232"
"301438","221.7","232"
"301644","221.7","232.1"
"301866","221.7","232.1"
"302083","221.7","232.1"
"302291","221.7","232.1"
"302507","221.9","232.3"
"302724","222","232.3"
"302944","221.9","232.3"
"303154","221.9","232.3"
"303374","221.9","232.3"
"303584","223.6","233.9"
"303796","223.6","233.9"
"304004","223.6","233.9"
"304224","223.6","233.9"
"304436","223.6","233.9"
"304645","223.6","233.9"
"304850","223.6","233.9"
"305069","223.6","233.9"
"305291","223.6","233.9"
"305508","223.8","234.2"
"305729","223.8","234.2"
"305950","223.8","234.2"
"306165","223.8","234.2"
"306373","225.6","235.9"
"306592","225.6","235.9"
"306811","225.6","235.9"
"307029","225.6","235.9"
"307249","225.6","235.9"
"307456","225.6","235.9"
"307665","225.6","235.9"
"307870","225.6","235.9"
"308086","225.6","235.9"
"308292","225.8","236.1"
"308513","225.9","236.1"
"308732","225.8","236.1"
"308955","225.8","236.1"
"309178","227.6","237.8"
"309404","227.6","237.8"
"309625","227.6","237.8"
"309844","227.6","237.8"
"310063","227.6","237.8"
"310280","227.6","237.9"
"310491","227.6","237.9"
"310699","227.6","237.9"
"310915","227.6","237.9"
"311124","227.6","237.9"
"311343","227.9","238.1"
"311551","227.9","238.1"
"311771","227.9","238.1"
"311982","227.9","238.1"
"312200","229.6","239.7"
"312422","229.6","239.7"
"312629","229.6","239.7"
"312846","229.6","239.7"
"313074","229.6","239.8"
"313291","229.6","239.7"
"313508","229.6","239.7"
"313725","229.6","239.7"
"313934","229.6","239.7"
"314143","229.8","239.9"
"314364","229.9","239.9"
"314583","229.8","239.9"
"314801","229.8","239.9"
"315010","231.5","241.6"
"315230","231.5","241.6"
"315452","231.5","241.6"
"315675","231.5","241.6"
"315886","231.5","241.6"
"316107","231.5","241.6"
"316323","231.5","241.6"
"316543","231.5","241.7"
"316764","231.5","241.7"
"316982","231.7","241.8"
"317199","231.8","241.8"
"317417","231.7","241.8"
"317638","231.7","241.8"
"317855","233.6","243.6"
"318062","233.6","243.6"
"318267","233.6","243.6"
"318476","233.6","243.6"
"318697","233.6","243.6"
"318916","233.6","243.6"
"319136","233.6","243.6"
"319354","233.6","243.6"
"319562","233.6","243.6"
"319781","233.8","243.8"
"320000","233.9","243.8"
"320220","233.8","243.8"
"320432","233.8","243.8"
"320647","233.8","243.8"
"320865","235.5","245.5"
"321084","235.5","245.5"
"321304","235.5","245.5"
"321522","235.5","245.4"
"321740","235.5","245.5"
"321958","235.5","245.5"
"322177","235.5","245.5"
"322385","235.5","245.5"
"322598","235.7","245.7"
"322816","235.8","245.7"
"323038","235.7","245.7"
"323248","235.7","245.7"
"323464","235.7","245.7"
"323684","237.4","247.3"
"323902","237.4","247.3"
"324111","237.4","247.3"
"324323","237.4","247.3"
"324544","237.4","247.4"
"324760","237.4","247.4"
"324979","237.4","247.3"
"325185","237.4","247.3"
"325405","237.4","247.3"
"325616","237.7","247.6"
"325824","237.7","247.6"
"326034","237.7","247.6"
"326246","237.7","247.6"
"326462","239.5","249.3"
"326676","239.5","249.3"
"326896","239.5","249.3"
"327123","239.5","249.3"
"327330","239.5","249.3"
"327547","239.5","249.4"
"327756","239.5","249.4"
"327976","239.5","249.4"
"328187","239.5","249.4"
"328400","239.7","249.6"
"328613","239.8","249.6"
"328820","239.8","249.6"
"329041","239.7","249.6"
"329260","239.7","249.6"
"329478","242.1","252"
"329684","242.1","252"
"329892","242.1","252"
"330109","242.1","252"
"330329","242.1","252"
"330552","242.1","252"
"330761","242.1","252"
"330972","242.1","252"
"331193","242.1","252"
"331413","242.1","252"
"331631","242.2","252"
"331840","242.1","252"
"332060","242.1","252"
"332279","243.2","252.9"
"332497","243.2","252.9"
"332716","243.2","252.9"
"332935","243.2","252.9"
"333153","243.2","252.9"
"333370","243.2","252.9"
"333589","243.2","252.8"
"333806","243.3","252.9"
"334023","243.5","253.1"
"334230","243.7","253.3"
"334452","243.9","253.5"
"334669","243.9","253.5"
"334887","243.8","253.5"
"335095","245.6","255.1"
"335319","245.6","255.1"
"335541","245.6","255.1"
"335761","245.6","255.1"
"335971","245.6","255.1"
"336181","245.6","255.2"
"336393","245.6","255.2"
"336605","245.6","255.2"
"336824","245.6","255.2"
"337051","245.6","255.2"
"337273","245.8","255.4"
"337485","245.8","255.4"
"337704","245.7","255.4"
"337921","245.7","255.4"
"338141","247.4","257.1"
"338361","247.4","257.1"
"338583","247.4","257.1"
"338804","247.4","257"
"339011","247.4","257"
"339229","247.4","257.1"
"339448","247.4","257.1"
"339661","247.4","257.1"
"339872","247.4","257.1"
"340093","247.4","257.1"
"340310","247.6","257.3"
"340527","247.6","257.3"
"340752","247.6","257.3"
"340971","249.3","258.9"
"341191","249.3","258.9"
"341404","249.3","258.9"
"341623","249.3","258.9"
"341833","249.3","258.9"
"342041","249.3","258.9"
"342260","249.3","258.9"
"342481","249.3","258.9"
"342702","249.3","258.9"
"342922","249.5","259"
"343140","249.6","259"
"343361","249.5","259"
"343585","249.5","259"
"343804","251.3","260.8"
"344743","251.3","260.8"
"344966","251.3","260.8"
"345174","251.3","260.8"
"345398","251.3","260.8"
"345615","251.3","260.8"
"345835","251.5","260.9"
"346055","251.6","260.9"
"346274","251.6","260.9"
"346496","251.5","260.9"
"346717","251.5","260.9"
"346938","253.2","262.7"
"347154","253.2","262.7"
"347368","253.2","262.7"
"347585","253.2","262.7"
"347807","253.2","262.7"
"348028","253.2","262.6"
"348241","253.2","262.6"
"348452","253.2","262.6"
"348660","253.2","262.6"
"348872","253.2","262.6"
"349086","253.2","262.6"
"349298","253.4","262.8"
"349518","253.5","262.8"
"349745","253.5","262.8"
"349964","253.5","262.8"
"350178","253.5","262.8"
"350401","253.5","262.8"
"350626","253.4","262.8"
"350844","253.4","262.8"
"351069","253.4","262.8"
"351290","253.4","262.8"
"351519","255.1","264.6"
"351727","255.1","264.6"
"351937","255.1","264.6"
"352157","255.1","264.6"
"352374","255.1","264.6"
"352591","255.1","264.6"
"352798","255.1","264.5"
"353014","255.1","264.5"
"353226","255.1","264.5"
"353444","255.1","264.5"
"353665","255.1","264.5"
"353876","255.1","264.5"
"354100","255.1","264.5"
"354317","255.4","264.6"
"354539","255.4","264.6"
"354762","255.4","264.6"
"354982","255.4","264.6"
"355197","255.4","264.6"
"355415","257.1","266.4"
"355626","257.1","266.4"
"355850","257.1","266.4"
"356067","257.1","266.4"
"356288","257.1","266.4"
"356503","257.1","266.4"
"356712","257.1","266.4"
"356931","257.1","266.4"
"357154","257.1","266.4"
"357375","257.1","266.4"
"357591","257.3","266.5"
"357801","257.3","266.5"
"358017","257.5","266.7"
"358240","257.5","266.7"
"358455","257.7","266.9"
"358670","257.7","266.9"
"358891","257.7","266.9"
"359114","257.7","266.9"
"359329","257.7","266.9"
"359551","259.4","268.5"
"359771","259.4","268.5"
"359993","259.4","268.5"
"360212","259.4","268.5"
"360434","259.4","268.5"
"360637","259.4","268.5"
"360853","259.4","268.5"
"361079","259.4","268.5"
"361304","259.4","268.5"
"361522","259.4","268.5"
"361740","259.4","268.5"
"361947","259.4","268.5"
"362169","259.4","268.5"
"362394","259.4","268.5"
"362610","259.6","268.7"
"362834","259.6","268.7"
"363055","259.6","268.7"
"363275","259.6","268.7"
"363494","259.6","268.7"
"363714","259.6","268.7"
"363943","261.3","270.5"
"364159","261.3","270.5"
"364378","261.3","270.5"
"364595","261.3","270.5"
"364819","261.3","270.5"
"365042","261.3","270.5"
"365259","261.3","270.5"
"365483","261.3","270.5"
"365705","261.3","270.4"
"365923","261.3","270.4"
"366143","261.3","270.4"
"366366","261.3","270.4"
"366586","261.3","270.4"
"366807","261.3","270.4"
"367018","261.5","270.6"
"367241","261.5","270.6"
"367457","261.5","270.6"
"367675","261.5","270.6"
"367899","261.5","270.6"
"368120","261.5","270.6"
"368343","263.3","272.4"
"368565","263.3","272.4"
"368781","263.3","272.4"
"368990","263.3","272.4"
"369202","263.3","272.4"
"369412","263.3","272.3"
"369628","263.3","272.3"
"369838","263.3","272.3"
"370061","263.3","272.3"
"370275","263.3","272.3"
"370488","263.3","272.3"
"370709","263.3","272.3"
"370926","263.3","272.3"
"371149","263.3","272.3"
"371366","263.5","272.4"
"371586","263.5","272.4"
"371809","263.5","272.4"
"372027","263.5","272.4"
"372247","263.5","272.4"
"372462","264","273"
"372685","265.2","274.2"
"372894","265.2","274.2"
"373116","265.2","274.2"
"373336","265.2","274.2"
"373555","265.2","274.2"
"373773","265.2","274.2"
"373996","265.2","274.2"
"374213","265.2","274.2"
"374433","265.2","274.2"
"374653","265.2","274.2"
"374864","265.4","274.3"
"375073","265.4","274.3"
"375292","265.4","274.3"
"375512","265.4","274.3"
"375724","265.4","274.3"
"375946","265.4","274.3"
"376161","267.1","276.1"
"376369","267.1","276.1"
"376594","267.1","276.1"
"376815","267.1","276.1"
"377034","267.1","276.1"
"377251","267.1","276.1"
"377471","267.1","276.1"
"377692","267.1","276.1"
"377914","267.1","276.1"
"378122","267.1","276"
"378336","267.1","276"
"378555","267.1","276"
"378775","267.1","276"
"379002","267.3","276.2"
"379221","267.3","276.2"
"379436","267.3","276.2"
"379657","267.3","276.2"
"379878","267.3","276.2"
"380098","267.3","276.2"
"380309","269.1","278"
"380527","269.1","278"
"380745","269.1","278"
"380957","269.1","278"
"381172","269.1","277.9"
"381379","269.1","277.9"
"381597","269.1","277.9"
"381815","269.1","277.9"
"382036","269.1","277.9"
"382255","269.1","277.9"
"382484","269.2","278"
"382697","269.4","278.2"
"382909","269.6","278.3"
"383126","269.6","278.3"
"383348","269.6","278.3"
"383568","269.6","278.3"
"383789","271.3","280"
"384009","271.3","280"
"384229","271.3","280"
"384450","271.3","280"
"384656","271.3","280"
"384878","271.3","280"
"385101","271.3","280.1"
"385316","271.3","280.1"
"385533","271.3","280.1"
"385746","271.3","280.2"
"385966","271.3","280.2"
"386186","271.3","280.2"
"386406","271.5","280.3"
"386623","271.5","280.3"
"386842","271.5","280.3"
"387050","271.5","280.3"
"387264","273.9","282.7"
"387472","273.9","282.7"
"387681","273.9","282.7"
"387901","273.9","282.6"
"388108","273.9","282.6"
"388327","273.9","282.6"
"388538","273.9","282.6"
"388756","273.9","282.6"
"388969","273.9","282.6"
"389189","273.9","282.6"
"389403","273.9","282.6"
"389624","273.9","282.6"
"389842","273.9","282.6"
"390060","273.9","282.6"
"390279","274.9","283.2"
"390494","274.9","283.2"
"390703","274.9","283.2"
"390914","274.9","283.2"
"391127","274.9","283.2"
"391349","274.9","283.2"
"391569","274.9","283.4"
"391777","274.9","283.4"
"391997","274.9","283.6"
"392204","275.1","283.8"
"392423","275.1","283.8"
"392644","275.1","283.8"
"392862","275.1","283.8"
"393085","277","285.6"
"393301","277","285.6"
"393518","277","285.6"
"393737","277","285.6"
"393959","277","285.6"
"394178","277","285.6"
"394398","277","285.6"
"394619","277","285.6"
"394831","277","285.6"
"395047","277.2","285.7"
"395269","277.2","285.7"
"395490","277.2","285.7"
"395712","277.2","285.7"
"395933","277.2","285.7"
"396145","278.9","287.6"
"396364","278.9","287.6"
"396568","278.9","287.6"
"396786","278.9","287.5"
"397004","278.9","287.5"
"397223","278.9","287.5"
"397441","278.9","287.5"
"397663","278.9","287.5"
"397882","278.9","287.5"
"398099","279.1","287.6"
"398324","279.1","287.6"
"398530","279.1","287.6"
"398749","279.1","287.6"
"398957","280.8","289.4"
"399168","280.8","289.4"
"399374","280.8","289.4"
"399595","280.8","289.4"
"399815","280.8","289.4"
"400032","280.8","289.4"
"400253","280.8","289.4"
"400469","280.8","289.4"
"400688","280.8","289.4"
"400910","281.1","289.5"
"401119","281.1","289.5"
"401326","281.1","289.5"
"401544","281.1","289.5"
"401763","281.1","289.5"
"401982","282.8","291.3"
"402191","282.8","291.3"
"402413","282.8","291.3"
"402625","282.8","291.3"
"402834","282.8","291.3"
"403048","282.8","291.3"
"403264","282.8","291.3"
"403482","282.9","291.3"
"403701","282.9","291.3"
"403918","283.1","291.5"
"404137","283.3","291.7"
"404356","283.3","291.7"
"404563","283.3","291.7"
"404782","285","293.4"
"404990","285","293.4"
"405212","285","293.4"
"405419","285","293.4"
"405638","285","293.3"
"405858","285","293.5"
"406077","285","293.5"
"406296","285","293.5"
"406504","285","293.5"
"406725","285","293.5"
"406933","285.2","293.6"
"407152","285.2","293.6"
"407369","285.2","293.6"
"407591","285.2","293.6"
"407812","286.9","295.3"
"408031","286.9","295.3"
"408240","286.9","295.3"
"408449","286.9","295.3"
"408660","286.9","295.3"
"408877","286.9","295.3"
"409094","286.9","295.3"
"409307","286.9","295.3"
"409530","286.9","295.3"
"409746","286.9","295.3"
"409964","287.1","295.4"
"410178","287.1","295.4"
"410389","287.1","295.4"
"410601","287.1","295.4"
"410809","287.1","295.4"
"411029","287.6","295.9"
"411241","288.8","297.1"
"411451","288.8","297.1"
"411670","288.8","297.1"
"411886","288.8","297.1"
"412098","288.8","297.1"
"412313","288.8","297"
"412539","288.8","297"
"412746","288.8","297.1"
"412960","288.8","297.1"
"413180","288.8","297.1"
"413397","288.8","297.1"
"413619","288.8","297.1"
"413833","288.8","297.1"
"414045","289.1","297.3"
"414267","289.1","297.3"
"414488","289.1","297.3"
"414706","289.1","297.3"
"414921","289.1","297.3"
"415135","289.1","297.3"
"415352","289.1","297.3"
"415568","290.9","299.1"
"415791","290.9","299.1"
"416003","290.9","299.1"
"416216","290.9","299.1"
"416426","290.9","299.1"
"416642","290.9","299.2"
"416852","290.9","299.1"
"417067","290.9","299.1"
"417288","290.9","299.1"
"417497","290.9","299.1"
"417713","290.9","299.1"
"417930","290.9","299.1"
"418148","290.9","299.1"
"418368","291.1","299.3"
"418580","291.1","299.3"
"418797","291.1","299.3"
"419015","291.1","299.3"
"419231","291.1","299.3"
"419445","291.1","299.3"
"419666","292.8","301.1"
"419883","292.8","301.1"
"420098","292.8","301.1"
"420311","292.8","301.1"
"420529","292.8","301.1"
"420746","292.8","301.1"
"420962","292.8","301.1"
"421177","292.8","301.1"
"421384","292.8","301.1"
"421598","292.8","301.1"
"421813","293.1","301.2"
"422031","293.1","301.2"
"422246","293.1","301.2"
"422453","293.1","301.2"
"422675","294.8","303"
"422896","294.8","303"
"423111","294.8","303"
"423334","294.8","303"
"423543","294.8","303"
"423760","294.8","303"
"423979","294.8","302.9"
"424193","294.8","302.9"
"424406","294.8","302.9"
"424627","294.8","302.9"
"424850","294.8","302.9"
"425072","294.8","302.9"
"425287","294.8","302.9"
"425510","295","303"
"425725","295","303"
"425941","295","303"
"426155","295","303"
"426373","295","303"
"426587","295","303"
"426793","296.7","304.9"
"426999","296.7","304.9"
"427213","296.7","304.9"
"427429","296.7","304.9"
"427649","296.7","304.9"
"427864","296.7","304.9"
"428072","296.7","304.8"
"428291","296.7","304.8"
"428503","296.7","304.8"
"428729","296.7","304.8"
"428948","296.7","304.8"
"429160","296.7","304.8"
"429372","296.7","304.8"
"429586","296.9","304.9"
"429800","296.9","304.9"
"430018","296.9","304.9"
"430237","296.9","304.9"
"430454","296.9","304.9"
"430662","296.9","304.9"
"430886","296.9","304.9"
"431101","298.6","306.6"
"431318","298.6","306.6"
"431539","298.6","306.6"
"431755","298.6","306.6"
"431968","298.6","306.6"
"432192","298.6","306.6"
"432402","298.6","306.6"
"432620","298.6","306.6"
"432838","298.6","306.6"
"433058","298.6","306.6"
"433281","298.6","306.6"
"433495","298.9","306.8"
"433710","298.9","306.8"
"433924","298.9","306.8"
"434144","298.9","306.8"
"434358","300.6","308.6"
"434575","300.6","308.6"
"434787","300.6","308.6"
"434996","300.6","308.6"
"435205","300.6","308.6"
"435433","300.6","308.6"
"435650","300.6","308.6"
"435866","300.6","308.5"
"436082","300.6","308.5"
"436295","300.6","308.5"
"436510","300.6","308.5"
"436725","300.8","308.7"
"436941","300.8","308.7"
"437161","300.8","308.7"
"437374","300.8","308.7"
"437589","300.8","308.7"
"437803","302.5","310.5"
"438024","302.5","310.5"
"438238","302.5","310.5"
"438458","302.5","310.5"
"438680","302.5","310.4"
"438895","302.5","310.4"
"439110","302.5","310.4"
"439325","302.5","310.4"
"439544","302.5","310.4"
"439763","302.5","310.4"
"439979","302.5","310.4"
"440191","302.7","310.6"
"440417","302.7","310.6"
"440630","302.7","310.6"
"440844","302.7","310.6"
"441064","302.7","310.6"
"441275","304.4","312.3"
"441485","304.4","312.3"
"441701","304.4","312.3"
"441915","304.4","312.3"
"442125","304.4","312.3"
"442345","304.4","312.3"
"442559","304.4","312.3"
"442766","304.4","312.3"
"442979","304.4","312.3"
"443188","304.6","312.4"
"443396","304.8","312.6"
"443611","305","312.8"
"443820","305","312.8"
"444028","305","312.8"
"444246","305","312.8"
"444457","306.7","314.4"
"444670","306.7","314.4"
"444883","306.7","314.4"
"445094","306.7","314.4"
"445315","306.7","314.4"
"445526","306.7","314.4"
"445738","306.7","314.4"
"445955","306.7","314.4"
"446174","306.7","314.4"
"446391","306.9","314.6"
"446608","306.9","314.6"
"446818","306.9","314.6"
"447037","306.9","314.6"
"447251","306.9","314.6"
"447464","308.6","316.4"
"447679","308.6","316.4"
"447892","308.6","316.4"
"448107","308.6","316.4"
"448320","308.6","316.3"
"448532","308.6","316.3"
"448751","308.6","316.3"
"448961","308.6","316.3"
"449173","308.6","316.3"
"449388","308.9","316.4"
"449604","308.9","316.5"
"449817","308.9","316.5"
"450030","308.9","316.5"
"450244","308.9","316.5"
"450465","310.6","318.2"
"450674","310.6","318.2"
"450890","310.6","318.2"
"451109","310.6","318.2"
"451321","310.6","318.2"
"451537","310.6","318.2"
"451748","310.6","318.2"
"451962","310.6","318.2"
"452172","310.6","318.2"
"452384","310.8","318.3"
"452605","310.8","318.3"
"452823","310.8","318.3"
"453040","310.8","318.3"
"453256","310.8","318.3"
"453474","312.5","320"
"453695","312.5","320"
"453912","312.5","320"
"454123","312.5","320"
"454339","312.5","320"
"454557","312.5","320"
"454769","312.5","320"
"454986","312.5","320"
"455198","312.5","320"
"455407","312.5","320"
"455626","312.5","320"
"455849","312.5","320"
"456056","312.7","320.2"
"456269","312.7","320.2"
"456478","312.7","320.2"
"456697","312.7","320.2"
"456910","312.7","320.2"
"457120","314.4","322"
"457341","314.4","322"
"457555","314.4","322"
"457786","314.4","322"
"457999","314.4","322"
"458218","314.4","322"
"458429","314.4","321.9"
"458636","314.4","321.9"
"458855","314.4","321.9"
"459065","314.4","321.9"
"459296","314.4","321.9"
"459509","314.6","322.1"
"459715","314.6","322.1"
"459930","314.6","322.1"
"460149","314.6","322.1"
"460357","314.6","322.1"
"460571","314.6","322.1"
"460788","314.6","322.1"
"461005","316.4","323.9"
"461224","316.4","323.9"
"461435","316.4","323.9"
"461643","316.4","323.9"
"461859","316.4","323.8"
"462071","316.4","323.8"
"462284","316.4","323.8"
"462501","316.4","323.8"
"462716","316.4","323.8"
"462937","316.6","323.9"
"463146","316.6","323.9"
"463365","316.6","323.9"
"463577","316.6","323.9"
"463793","316.6","323.9"
"464007","318.3","325.7"
"464228","318.3","325.7"
"464442","318.3","325.7"
"464658","318.3","325.7"
"464879","318.3","325.7"
"465095","318.3","325.7"
"465309","318.3","325.7"
"465523","318.3","325.7"
"465735","318.4","325.7"
"465951","318.7","325.9"
"466167","318.8","326.1"
"466383","318.8","326.1"
"466598","318.8","326.1"
"466815","318.8","326.1"
"467029","320.5","327.3"
"467245","320.5","327.3"
"467465","320.5","327.3"
"467675","320.5","327.6"
"467893","320.5","327.5"
"468108","320.5","327.5"
"468325","320.5","327.5"
"468534","320.5","327.5"
"468749","320.5","327.6"
"468965","320.8","327.8"
"469177","320.8","327.8"
"469391","320.8","327.8"
"469606","320.8","327.8"
"469820","320.8","327.8"
"470034","322.5","329.7"
"470246","322.5","329.7"
"470464","322.5","329.7"
"470681","322.5","329.6"
"470898","322.5","329.6"
"471113","322.5","329.7"
"471325","322.5","329.7"
"471533","322.5","329.7"
"471748","322.5","329.7"
"471965","322.7","329.8"
"472175","322.7","329.8"
"472388","322.7","329.8"
"472606","322.7","329.8"
"472816","322.7","329.8"
"473032","324.4","331.5"
"473248","324.4","331.5"
"473463","324.4","331.5"
"473676","324.4","331.5"
"473888","324.4","331.5"
"474101","324.4","331.5"
"474318","324.4","331.6"
"474540","324.4","331.6"
"474753","324.4","331.5"
"474973","324.4","331.6"
"475186","324.4","331.6"
"475406","324.4","331.6"
"475629","324.6","331.8"
"475840","324.6","331.8"
"476048","324.6","331.8"
"476262","324.6","331.8"
"476475","324.6","331.8"
