"t_ms","private_mb","working_mb"
"54584","43.8","59.4"
"54803","44","59.6"
"55020","43.5","58.8"
"55230","43.4","58.8"
"55453","43.4","58.8"
"55672","44.7","60.4"
"55891","44.7","60.4"
"56110","44.7","60.4"
"56321","44.7","60.4"
"56538","44.9","60.5"
"56747","45.3","60.9"
"56970","45.5","61.2"
"57189","45.7","61.3"
"57410","45.9","61.5"
"57631","45.3","60.6"
"57849","45.3","60.6"
"58058","45.3","60.6"
"58281","46.6","62.2"
"58502","46.6","62.2"
"58713","46.6","62.2"
"58922","46.6","62.2"
"59140","46.6","62.2"
"59353","47","62.6"
"59572","47.4","63"
"59778","47.4","63"
"60000","47.5","63.1"
"60219","47.8","63.3"
"60430","47.1","62.4"
"60649","47.1","62.4"
"60858","47.1","62.4"
"61066","48.5","64.1"
"61284","48.5","64.1"
"61498","48.5","64.1"
"61717","48.5","64.1"
"61938","48.6","64.1"
"62144","49","64.5"
"62364","49.3","64.8"
"62584","49.4","64.9"
"62802","49.7","65.1"
"63023","49.8","65.3"
"63234","49.8","65.3"
"63455","49.8","65.3"
"63676","50.4","65.8"
"63895","50.2","65.6"
"64113","50.2","65.6"
"64332","50.2","65.6"
"64540","50.2","65.7"
"64749","50.8","66.2"
"64966","51","66.5"
"65186","51.3","66.8"
"65407","51.5","66.9"
"65618","51.7","67.1"
"65836","51.8","67.2"
"66055","51.7","67.2"
"66264","51.7","67.2"
"66483","53.5","69"
"66694","53.5","69"
"66911","53.5","69"
"67132","53.5","69"
"67351","53.5","69"
"67573","53.5","69"
"67790","53.5","69"
"68010","53.5","69"
"68229","53.8","69.1"
"68450","53.8","69.1"
"68662","53.8","69.1"
"68874","53.8","69.1"
"69091","53.8","69.1"
"69300","55.5","70.8"
"69522","55.5","70.8"
"69736","55.5","70.8"
"69955","55.5","70.8"
"70164","55.5","70.8"
"70385","55.5","70.8"
"70605","55.5","70.9"
"70825","55.5","70.9"
"71032","55.7","71"
"71251","55.8","71"
"71473","55.7","71"
"71693","55.7","71"
"71915","57.4","72.7"
"72132","57.4","72.7"
"72353","57.4","72.7"
"72570","57.4","72.7"
"72791","57.4","72.7"
"73009","57.4","72.7"
"73218","57.4","72.7"
"73433","57.4","72.7"
"73652","57.6","72.9"
"73870","57.7","72.9"
"74089","57.7","72.9"
"74308","57.7","72.9"
"74525","59.3","74.5"
"74734","59.3","74.5"
"74946","59.3","74.5"
"75167","59.3","74.5"
"75383","59.3","74.5"
"75604","59.3","74.6"
"75823","59.3","74.6"
"76039","59.3","74.6"
"76246","59.3","74.6"
"76452","59.6","74.8"
"76670","59.6","74.8"
"76884","59.6","74.8"
"77105","59.6","74.8"
"77324","61.5","76.6"
"77534","61.4","76.6"
"77753","61.4","76.6"
"77971","61.4","76.5"
"78188","61.4","76.5"
"78406","61.4","76.6"
"78614","61.4","76.6"
"78819","61.4","76.6"
"79028","61.4","76.6"
"79246","61.6","76.8"
"79458","61.6","76.8"
"79678","61.6","76.8"
"79897","61.6","76.8"
"80105","63.3","78.4"
"80318","63.3","78.4"
"80541","63.3","78.4"
"80758","63.3","78.4"
"80970","63.3","78.5"
"81193","63.3","78.4"
"81412","63.3","78.4"
"81627","63.3","78.4"
"81839","63.3","78.4"
"82048","63.6","78.6"
"82267","63.6","78.6"
"82490","63.6","78.6"
"82710","63.6","78.6"
"82928","65.3","80.4"
"83136","65.3","80.4"
"83346","65.3","80.4"
"83566","65.3","80.4"
